,alpha,mmse,q
115,0.040599215686274504,0.671633422749047,0.5283665772509529
116,0.040952078431372545,0.667600482671749,0.532399517328251
117,0.04130494117647058,0.6635680502870722,0.5364319497129277
118,0.04165780392156862,0.659524986395689,0.5404750136043109
119,0.04201066666666666,0.6554624450318898,0.5445375549681102
120,0.042363529411764696,0.6513999177201718,0.5486000822798281
121,0.04271639215686274,0.6473283913812276,0.5526716086187724
122,0.04306925490196078,0.6432481081015831,0.5567518918984169
123,0.04342211764705881,0.6391489047550206,0.5608510952449793
124,0.043774980392156854,0.6350509664306938,0.5649490335693061
125,0.044127843137254895,0.6309449247949519,0.569055075205048
126,0.044480705882352936,0.6268209770633522,0.5731790229366478
127,0.04483356862745097,0.6226985868632879,0.577301413136712
128,0.04518643137254901,0.6185687190190263,0.5814312809809736
129,0.04553929411764705,0.6144315943784551,0.5855684056215449
130,0.04589215686274509,0.610276869195219,0.589723130804781
131,0.04624501960784313,0.6061250170369346,0.5938749829630654
132,0.04659788235294117,0.6019664963382735,0.5980335036617265
133,0.04695074509803921,0.5977911676562795,0.6022088323437205
134,0.047303607843137245,0.5936190848966687,0.6063809151033313
135,0.047656470588235286,0.5894408960610005,0.6105591039389995
136,0.04800933333333333,0.5852352899740112,0.6147647100259888
137,0.04836219607843136,0.5810364224920961,0.6189635775079039
138,0.0487150588235294,0.5768365120544452,0.6231634879455548
139,0.049067921568627444,0.5726218554019575,0.6273781445980424
140,0.04942078431372548,0.5684401454847884,0.6315598545152116
141,0.04977364705882352,0.5642276172761602,0.6357723827238397
142,0.05012650980392156,0.5599999164504907,0.6400000835495092
143,0.0504793725490196,0.5557768188824044,0.6442231811175956
144,0.050832235294117636,0.551549136815427,0.6484508631845729
145,0.05118509803921568,0.5473067563032681,0.6526932436967319
146,0.05153796078431372,0.5430695493887056,0.6569304506112944
147,0.05189082352941175,0.5388282074491967,0.6611717925508033
148,0.052243686274509794,0.5345724319930749,0.665427568006925
149,0.052596549019607836,0.5303224300701326,0.6696775699298674
150,0.05294941176470587,0.5260687097044061,0.6739312902955938
